layers,dropout,lr,batch_size,PICP,MPIW
[8],0.0,0.001,32,0.9404761904761905,30.714245
[8],0.1,0.001,32,0.9583333333333334,33.635307
[8],0.2,0.001,32,0.9583333333333334,33.811687
[16],0.0,0.001,32,0.9345238095238095,30.862888
[16],0.1,0.001,32,0.9523809523809523,32.38691
[16],0.2,0.001,32,0.9583333333333334,33.736176
"[8, 4]",0.0,0.001,32,0.9285714285714286,29.084873
"[8, 4]",0.1,0.001,32,0.9523809523809523,33.616997
"[8, 4]",0.2,0.001,32,0.9642857142857143,35.441475
[8],0.1,0.0005,32,0.9642857142857143,33.968117
[16],0.1,0.0005,32,0.9583333333333334,33.024567
[8],0.1,0.001,16,0.9523809523809523,32.79339
[16],0.0,0.0005,32,0.9404761904761905,30.916569
[16],0.05,0.0005,32,0.9464285714285714,32.373283
[16],0.075,0.0005,32,0.9583333333333334,32.933502
[8],0.0,0.001,32,0.9285714285714286,30.422281
[8],0.05,0.001,32,0.9583333333333334,33.366203
[8],0.15,0.001,32,0.9583333333333334,32.9286
"[16, 8]",0.0,0.0005,32,0.9285714285714286,29.83206
"[16, 8]",0.1,0.0005,32,0.9642857142857143,33.687542
[16],0.05,0.0001,32,0.05952380952380952,5.018517
[8],0.05,0.0001,32,0.041666666666666664,3.5602188
"[16, 8]",0.1,0.0005,32,0.9642857142857143,32.834175
"[16, 8]",0.09,0.0005,32,0.9642857142857143,33.30118
"[16, 8]",0.08,0.0005,32,0.9642857142857143,33.173626
"[16, 8]",0.07,0.0005,32,0.9583333333333334,33.861305
[2],0.0,0.001,16,0.9404761904761905,30.342257
[2],0.0,0.001,32,0.0,-3.3540561
[2],0.0,0.0005,16,0.9345238095238095,30.27792
[2],0.0,0.0005,32,0.9285714285714286,30.7303
[2],0.1,0.001,16,0.9226190476190477,27.626858
[2],0.1,0.001,32,0.0,0.09465809
[2],0.1,0.0005,16,0.9107142857142857,27.88551
[2],0.1,0.0005,32,0.0,1.9045103e-06
[2],0.2,0.001,16,0.9761904761904762,35.645607
[2],0.2,0.001,32,0.8214285714285714,24.872349
[2],0.2,0.0005,16,0.9761904761904762,37.965435
[2],0.2,0.0005,32,0.8511904761904762,25.536016
[4],0.0,0.001,16,0.9345238095238095,31.05396
[4],0.0,0.001,32,0.9404761904761905,30.351597
[4],0.0,0.0005,16,0.9345238095238095,30.179798
[4],0.0,0.0005,32,0.9345238095238095,30.406555
[4],0.1,0.001,16,0.9702380952380952,35.157394
[4],0.1,0.001,32,0.9047619047619048,27.419601
[4],0.1,0.0005,16,0.9642857142857143,33.73477
[4],0.1,0.0005,32,0.9583333333333334,33.048485
[4],0.2,0.001,16,0.9583333333333334,33.448418
[4],0.2,0.001,32,0.0,-1.8621649
[4],0.2,0.0005,16,0.9821428571428571,34.8834
[4],0.2,0.0005,32,0.8333333333333334,24.21698
[8],0.0,0.001,16,0.9345238095238095,29.982262
[8],0.0,0.001,32,0.9404761904761905,31.609596
[8],0.0,0.0005,16,0.9345238095238095,30.6695
