HH-pol,HV-pol,SM1 (%),Crop Name,label
-9.30941,-17.00176,8.2,Fallow,Low
-8.10325,-15.88235,44.8,Perl Millet,Very High
-9.62345,-17.15174,6.0,Fallow,Low
-9.94934,-19.37645,5.7,Ortho,Low
-6.80651,-17.59076,2.7,Fallow,Low
-9.78643,-10.79381,37.4,Perl Millet,High
-8.44387,-15.33186,27.3,Perl Millet,High
-8.75233,-18.93091,15.2,Perl Millet,Medium
-12.47915,-18.12421,9.1,Perl Millet,Low
-9.48801,-14.64609,26.9,Perl Millet,High
-7.93055,-19.29293,3.8,Fallow,Low
-10.35046,-17.05132,4.7,Fallow,Low
-10.06136,-19.13012,5.0,Fallow,Low
-12.05981,-19.29424,2.1,Fallow,Low
-10.30704,-19.45123,2.4,Fallow,Low
-12.82574,-21.29368,12.6,Fallow,Medium
-10.22037,-19.06915,5.0,Fallow,Low
-8.61756,-20.42012,6.8,Fallow,Low
-12.73595,-17.84052,6.2,Fallow,Low
-12.2253,-22.54355,5.83333333333333,Fallow,Low
-10.92568,-15.49919,6.3,Fallow,Low
-12.65881,-16.4699,3.8,Fallow,Low
-12.57115,-20.66377,6.3,Fallow,Low
-12.63191,-15.34244,7.0,Fallow,Low
-13.02122,-15.69567,7.6,Fallow,Low
-11.54633,-13.21472,8.7,Fallow,Low
-10.58841,-15.85361,5.0,Fallow,Low
-8.42513,-17.40769,4.0,Fallow,Low
-12.02991,-15.60047,3.4,Fallow,Low
-13.06616,-14.96992,5.3,Fallow,Low
-12.04677,-19.2503,2.4,Fallow,Low
-8.4518,-17.31775,6.8,Fallow,Low
-9.3763,-19.00197,3.0,Fallow,Low
-8.84624,-15.81384,4.3,Fallow,Low
-9.50577,-15.5643,3.03333333333333,Fallow,Low
-7.24491,-18.34963,3.6,Fallow,Low
-9.55814,-16.25389,4.2,Fallow,Low
-12.91854,-19.12096,6.0,Fallow,Low
-10.35664,-17.43173,2.3,Fallow,Low
-11.89789,-19.27818,4.53333333333333,Fallow,Low
-7.08127,-15.57441,2.6,Fallow,Low
-9.99693,-18.66412,2.4,Fallow,Low
-9.61241,-16.59726,2.8,Fallow,Low
-9.83582,-15.61723,32.1,Fallow,High
-9.15462,-14.64847,5.86666666666667,Fallow,Low
-5.9622,-16.00036,14.4,Fallow,Medium
-7.39929,-16.99431,23.3,Fallow,Medium
-12.4412,-18.07345,4.3,Fallow,Low
-9.06017,-20.28106,40.6,Fallow,High
-10.5291,-19.31998,25.4666666666667,Fallow,High
-9.95405,-12.73768,4.5,Fallow,Low
-9.48952,-17.54862,52.2,Dalia,Very High
-10.76591,-18.80001,25.1,Perl Millet,High
-12.10011,-13.80231,17.2,Jowar,Medium
-10.91712,-19.1987,5.2,Fallow,Low
-7.81574,-18.94311,4.8,Fallow,Low
-6.59767,-18.39282,27.4,Fallow,High
-10.1896,-14.50748,37.3,Fallow,High
-9.96887,-15.24612,8.2,Fallow,Low
-12.61298,-20.17157,5.86666666666667,Fallow,Low
-13.38488,-19.73572,4.1,Fallow,Low
-9.36742,-16.36509,3.5,Fallow,Low
-8.86449,-15.5614,4.0,Fallow,Low
-10.81193,-15.77439,3.8,Fallow,Low
-12.77497,-17.40721,5.13333333333333,Fallow,Low
-9.92453,-18.7951,3.6,Fallow,Low
-11.65075,-17.92907,5.1,Fallow,Low
-12.55268,-17.39989,16.0,Fallow,Medium
-8.42385,-19.05501,2.8,Fallow,Low
-10.12433,-19.84436,10.7666666666667,Fallow,Medium
-8.62324,-17.74773,3.2,Fallow,Low
-13.38404,-18.17859,6.5,Fallow,Low
-9.93938,-18.48502,6.0,Fallow,Low
-12.57221,-19.60516,4.9,Fallow,Low
-11.58666,-22.13792,6.06666666666667,Fallow,Low
-11.84989,-18.48023,9.6,Fallow,Low
-10.29152,-16.81516,3.4,Fallow,Low
-11.18491,-20.68605,21.8,Fallow,Medium
-9.20688,-19.93405,5.9,Fallow,Low
-9.82747,-20.41621,4.6,Fallow,Low
-11.9066,-15.6542,3.9,Fallow,Low
-8.62748,-16.12485,21.5,Perl Millet,Medium
-10.26128,-17.77907,15.8,Perl Millet,Medium
-9.58333,-15.26672,3.8,Fallow,Low
-10.80369,-16.14764,23.8,Perl Millet,Medium
-11.40774,-16.74591,2.7,Fallow,Low
-10.66648,-18.70679,2.3,Fallow,Low
-10.40914,-19.00854,3.8,Fallow,Low
-10.64451,-14.9134,4.4,Fallow,Low
-10.85311,-15.57489,3.03333333333333,Fallow,Low
-8.71543,-16.33234,5.2,Fallow,Low
-7.59162,-17.00725,18.1,Perl Millet,Medium
-9.77731,-14.99134,14.3,Perl Millet,Medium
-9.90516,-15.88723,10.0,Fodder,Medium
-7.98585,-13.54009,11.0666666666667,Perl Millet,Medium
-11.59984,-15.24045,2.7,Fallow,Low
